question,hop_depth,path,relations,path_degrees,max_degree_in_path,corpus_median_degree_for_reference
Who is the mother of Esther Lyon's husband?,1,esther -> her father,child_of,"[556, 65]",556,1
Who is the mother of Esther Lyon's husband?,1,esther -> her father,adopted_by,"[556, 65]",556,1
Who is the mother of Esther Lyon's husband?,1,esther -> her father,child_of,"[556, 65]",556,1
Who is the father of Felix Holt's wife?,1,his father -> his mother,spouse_of,"[9, 60]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> him,parent_mother_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> another son,parent_mother_of,"[60, 2]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> he,parent_mother_of,"[60, 44]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> a little boy,grandparent_of,"[60, 2]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> job,companion_of,"[60, 38]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> his father,spouse_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> esther,relative_of,"[60, 556]",556,1
Who is the father of Felix Holt's wife?,1,his mother -> his,relative_of,"[60, 5]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> lady debarry,relative_of,"[60, 17]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> him,parent_mother_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> another son,parent_mother_of,"[60, 2]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> he,parent_mother_of,"[60, 44]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> a little boy,grandparent_of,"[60, 2]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> job,companion_of,"[60, 38]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> his father,spouse_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> esther,relative_of,"[60, 556]",556,1
Who is the father of Felix Holt's wife?,1,his mother -> his,relative_of,"[60, 5]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> lady debarry,relative_of,"[60, 17]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> him,parent_mother_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> another son,parent_mother_of,"[60, 2]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> he,parent_mother_of,"[60, 44]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> a little boy,grandparent_of,"[60, 2]",60,1
