entity1,entity1_appears_in_question,entity2,entity2_appears_in_question,hop_depth,path,query_direction_match,question,relations,type
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
mr. lyon,False,esther,True,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
,,,,1,esther -> her father,,Who is the mother of Esther Lyon's husband?,child_of,chain_sample
,,,,1,esther -> her father,,Who is the mother of Esther Lyon's husband?,adopted_by,chain_sample
,,,,1,esther -> her father,,Who is the mother of Esther Lyon's husband?,child_of,chain_sample
esther,True,mr. lyon,False,1,,,Who is the mother of Esther Lyon's husband?,,fact
