question,hop_depth,retrieval_stable_across_calls,matched_pairs_run1,matched_pairs_run2,total_facts,total_chains,direction_matches,llm_stable_on_same_facts,answer_1,answer_2
Who is the mother of Esther Lyon's husband?,1,True,"[('mr. lyon', 'esther'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon')]","[('mr. lyon', 'esther'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon'), ('esther', 'mr. lyon')]",290,3,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",True,"The retrieved facts do not provide any information about the mother of Esther Lyon’s husband. Therefore, it cannot be determined from the available data.","The retrieved facts do not provide any information about the mother of Esther Lyon’s husband. Therefore, it cannot be determined from the available data."
Who is the father of Felix Holt's wife?,1,True,"[('felix holt', 'his father'), ('felix holt', 'his mother'), ('felix holt', 'his mother'), ('felix holt', 'his mother'), ('his mother', 'felix holt')]","[('felix holt', 'his father'), ('felix holt', 'his mother'), ('felix holt', 'his mother'), ('felix holt', 'his mother'), ('his mother', 'felix holt')]",21,60,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",True,"The retrieved facts do not contain any information about Felix Holt’s wife or her father, so it cannot be determined from the provided evidence.","The retrieved facts do not contain any information about Felix Holt’s wife or her father, so it cannot be determined from the provided evidence."
Who is the biological father of Mrs. Transome's son?,1,True,"[('mrs. transome', 'son'), ('mrs. transome', 'son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son')]","[('mrs. transome', 'son'), ('mrs. transome', 'son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son')]",34,20,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",True,"The retrieved facts and chains do not provide any information about the biological father of Mrs. Transome’s son. Therefore, it cannot be determined from the given evidence.","The retrieved facts and chains do not provide any information about the biological father of Mrs. Transome’s son. Therefore, it cannot be determined from the given evidence."
Who is the servant loyal to Harold Transome's mother?,0,True,"[('harold transome', 'mother'), ('harold transome', 'his mother'), ('harold transome', 'his mother'), ('mrs. transome', 'harold'), ('mrs. transome', 'harold')]","[('harold transome', 'mother'), ('harold transome', 'his mother'), ('harold transome', 'his mother'), ('mrs. transome', 'harold'), ('mrs. transome', 'harold')]",121,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",True,"The available facts do not mention any servant loyal to Harold Transome’s mother, so this cannot be determined from the provided information.","The available facts do not mention any servant loyal to Harold Transome’s mother, so this cannot be determined from the provided information."
Who is the mother of Rufus Lyon's daughter's husband?,2,True,"[('rufus lyon', 'you'), ('rufus lyon', 'your'), ('mr. lyon', 'her'), ('mr. lyon', 'rufus'), ('rufus lyon', 'esther')]","[('rufus lyon', 'you'), ('rufus lyon', 'your'), ('mr. lyon', 'her'), ('mr. lyon', 'rufus'), ('rufus lyon', 'esther')]",6,85,"[None, None, None, None, None, None]",True,"The facts and chains provided do not contain any information about Rufus Lyon’s daughter, her husband, or the mother of that husband. Therefore, it cannot be determined from the retrieved facts.","The facts and chains provided do not contain any information about Rufus Lyon’s daughter, her husband, or the mother of that husband. Therefore, it cannot be determined from the retrieved facts."
Who is the father of Mrs. Holt's son's wife?,2,True,"[('mrs. holt', 'her son'), ('mrs. holt', 'his mother'), ('mrs. holt', 'her husband'), ('mrs. holt', 'your son'), ('mrs. holt', 'mr. holt')]","[('mrs. holt', 'her son'), ('mrs. holt', 'his mother'), ('mrs. holt', 'her husband'), ('mrs. holt', 'your son'), ('mrs. holt', 'mr. holt')]",7,84,"[None, None, None, None, None, None, None]",True,"The retrieved facts do not provide any information about the father of Mrs. Holt’s son’s wife, so this cannot be determined from the given data.","The retrieved facts do not provide any information about the father of Mrs. Holt’s son’s wife, so this cannot be determined from the given data."
Who is the lawyer that manages the estate of Mrs. Transome's son?,0,True,"[('lawyer jermyn', 'transome estate'), ('mrs. transome', 'her own son'), ('mrs. transome', 'her husband'), ('mrs. transome', 'her husband'), ('mrs. transome', 'her son')]","[('lawyer jermyn', 'transome estate'), ('mrs. transome', 'her own son'), ('mrs. transome', 'her husband'), ('mrs. transome', 'her husband'), ('mrs. transome', 'her son')]",16,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",True,"The facts provided do not state which lawyer manages the estate of Mrs. Transome’s son. Therefore, it cannot be determined from the retrieved information.","The facts provided do not state which lawyer manages the estate of Mrs. Transome’s son. Therefore, it cannot be determined from the retrieved information."
Who is the mother of Matthew Jermyn's biological son?,1,True,"[('jermyn', 'daughters'), ('mr. jermyn', 'his daughters'), ('jermyn', ""jermyn's third daughter""), ('mother', 'jermyn'), ('jermyn', 'his third affectionate and expensive daughter')]","[('jermyn', 'daughters'), ('mr. jermyn', 'his daughters'), ('jermyn', ""jermyn's third daughter""), ('mother', 'jermyn'), ('jermyn', 'his third affectionate and expensive daughter')]",5,22,"[None, None, None, None, None]",True,"The retrieved facts do not contain any information about Matthew Jermyn’s biological son or his mother, so this cannot be determined from the provided data.","The retrieved facts do not contain any information about Matthew Jermyn’s biological son or his mother, so this cannot be determined from the provided data."
Who is the Conservative candidate against Mrs. Transome's son?,0,True,"[('mr. transome', 'party'), ('mrs. transome', 'son'), ('mrs. transome', 'son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son')]","[('mr. transome', 'party'), ('mrs. transome', 'son'), ('mrs. transome', 'son'), ('mrs. transome', 'her son'), ('mrs. transome', 'her son')]",25,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",False,"The information provided does not include any fact about a Conservative candidate running against Mrs. Transome’s son. Therefore, it cannot be determined from the retrieved facts.",The information provided does not include any details about a Conservative candidate running against Mrs. Transome’s son.
Who is Mrs. Holt's son's wife?,1,True,"[('mrs. holt', 'her son'), ('mrs. holt', 'her husband'), ('mrs. holt', 'mr. holt'), ('mrs. holt', 'mr. holt'), ('mrs. holt', 'mr. holt')]","[('mrs. holt', 'her son'), ('mrs. holt', 'her husband'), ('mrs. holt', 'mr. holt'), ('mrs. holt', 'mr. holt'), ('mrs. holt', 'mr. holt')]",11,69,"[None, None, None, None, None, None, None, None, None, None, None]",False,"The facts provided do not include any information about Mrs. Holt’s son’s wife, so it cannot be determined from the retrieved data.","The facts provided do not include any information about Mrs. Holt’s son’s wife, so it cannot be determined from the retrieved facts."
